1017,45.25
1213,46.77
1348,49.81
1874,47.81
1151,59.94
2915,56.14
1455,59.84
1696,43.84
1794,45.8
8096,55.1
1936,58.31
2130,85.71
2309,81.7
2381,89.85
2577,76.24
2988,55.31
3039,63.8
3397,79.47
9026,68.51
3459,70.63
4106,68.81
3761,57.48
3805,74.1
3841,114.14
3958,48.33
1071,73.66
4008,78.38
4188,69.24
4142,76.55
9019,68.82
4240,61.73
4268,76.43
4302,72.74
4366,67.4
4482,70.13
4525,73.91
4703,60.68
4767,69.88
4927,57.42
4981,70.64
5103,57.53
5167,69.24
5210,75.09
5309,63.97
5336,73.2
5577,66.7
5700,68.57
5755,58.82
5826,66.24
6048,56.59
6119,92.43
6164,79.57
6217,63.44
6271,77.62
6397,86.6
6468,89.67
6547,78.54
6627,104.2
6592,62.65
6930,68.16
6761,73.31
6976,67.06
7044,79.58
7099,58.31
7348,63.9
7384,58.61
7197,82.22
7446,61.2
7767,70.08
7810,63.05
7865,58.51
7945,67.26
8014,68.35
8158,50.99
8229,84.62
8354,62.31
8425,75.18
8826,58.8
9262,38.34
9459,66.82
9495,38.54
9538,57.26
9574,52.28
9627,52.07
9654,50.23
11584,48.55
12091,36.48
9690,51.04
9743,69.43
9798,69.93
9832,76.29
9887,77.1
10051,77.99
10104,63.93
9930,70.45
10006,62.59
10195,64.79
10239,81.54
10293,73.55
10346,72.48
10373,59.9
10417,82.04
10453,75.44
10514,53.92
10532,73.38
10649,88.81
10701,83.16
12912,60.79
9280,58.36
10827,56.48
12920,59.07
10872,49.0
10916,56.97
10943,70.36
11058,82.1
11174,85.94
11236,87.45
11307,81.02
11352,62.24
9333,57.4
11398,41.1
11423,64.61
11478,95.28
11502,60.0
11539,60.46
11637,57.92
11664,73.5
11735,76.5
11762,78.77
11842,66.7
11940,54.53
11995,71.32
12037,46.65
12055,61.88
12126,74.47
12144,57.1
12206,61.67
12224,57.17
12242,69.93
12288,90.51
12340,61.17
12368,40.84
12402,84.68
9360,61.68
12457,79.26
12509,70.61
10765,74.38
12572,70.78
12689,66.93
12643,51.62
9397,43.65
12778,58.59
12938,55.46
12812,69.44
12849,62.89
12876,51.35
13169,40.66
13490,47.95
13622,41.26
13668,58.38
13301,51.81
13392,50.0
13757,56.97
13819,60.7
13891,74.65
13935,64.96
13999,70.95
14049,64.54
13187,53.21
14085,64.73
14165,60.89
14272,64.01
14450,65.13
14352,75.0
14405,69.31
14584,60.74
14673,70.67
14726,76.92
13276,58.65
14753,70.94
14851,62.65
14922,63.63
20063,63.24
14940,61.77
15064,67.7
15108,53.91
15233,69.06
15313,64.46
15402,66.74
15448,66.0
15493,59.78
15554,86.35
15652,71.79
15741,56.25
15830,68.96
15901,59.04
15983,63.7
16132,69.82
16285,67.17
16329,96.31
16365,58.58
16427,76.87
16454,75.49
16472,69.38
16506,63.1
16551,62.17
16613,55.98
16659,81.36
16739,65.64
16757,58.62
16908,64.39
16944,55.99
17049,62.17
13365,59.01
17101,61.35
17209,72.03
17254,63.03
17334,70.2
17398,59.47
17423,72.76
17496,54.91
17575,69.93
17619,65.82
17726,68.45
17771,73.11
17824,64.37
17851,58.8
18028,68.57
17913,79.81
17968,60.69
18162,61.8
18242,69.99
18331,60.56
20048,81.84
18411,62.66
